in.store,age,items,amount,region,,,,
0,60,8,2103.8,3,Instance or observation,,, ROWS ARE CALLED INSTANCE OR OBSERVATION 
1,58,8,968.38,3,Instance or observation,,,
0,51,8,143.59,2,Instance or observation,,,
1,40,8,863.82,3,Instance or observation,,,
0,41,8,915.21,1,Instance or observation,,,
0,79,8,426.17,2,Instance or observation,,,
0,79,8,471.43,2,Instance or observation,,,
0,31,8,115.52,2,Instance or observation,,,
0,29,8,129.25,4,Instance or observation,,,
1,25,8,1025.9,1,Instance or observation,,,
0,57,8,1384.7,3,Instance or observation,,,
0,55,8,352.82,2,Instance or observation,,,
0,58,8,450.41,2,Instance or observation,,,
0,73,8,416.93,2,Instance or observation,,,
0,60,8,638.38,3,Instance or observation,,,
1,35,8,1740.1,4,Instance or observation,,,
1,32,8,1308.3,1,Instance or observation,,,
1,50,8,749.37,3,Instance or observation,,,
1,25,8,1854.8,4,,,,
1,48,8,707.09,1,,,,
1,35,8,965.75,4,,,,
0,56,8,15.86,2,,,,
0,50,8,152.97,2,,,,
0,71,8,74.1,2,,,,
1,59,8,344.11,3,,,,
1,72,8,919.24,1,,,,
0,62,8,381.25,2,,,,
1,37,8,361.42,4,,,,
0,25,8,569.47,4,,,,
1,47,8,480.06,3,,,,
1,74,8,896.37,1,,,,
0,20,8,114.6,3,,,,
0,37,8,234.27,2,,,,
1,38,8,734.63,1,,,,
0,51,8,1213.5,4,,,,
0,42,8,937.62,1,,,,
1,43,8,1416.7,4,,,,
0,28,8,97.31,2,,,,
1,21,8,1431.4,1,,,,
1,30,8,514.6,4,,,,
0,53,8,1085,1,,,,
0,31,8,377.83,2,,,,
1,33,8,890.63,3,,,,
0,36,8,1528,4,,,,
0,34,8,1040.8,3,,,,
0,56,8,807.78,4,,,,
0,37,8,1319.9,4,,,,
0,72,8,143.54,2,,,,
1,36,8,658.4,3,,,,
0,39,8,497.33,2,,,,
0,64,8,87.61,2,,,,
1,44,8,1346,4,,,,
1,28,8,143.26,4,,,,
1,39,8,1090.7,4,,,,
0,31,8,13.83,2,,,,
1,27,8,385.71,3,,,,
0,52,8,1423,4,,,,
1,63,8,227.45,3,,,,
0,27,8,2851.3,4,,,,
0,69,8,83.12,2,,,,
0,46,8,483.55,2,,,,
1,32,8,1075,4,,,,
0,47,8,2294.6,4,,,,
0,49,8,2318.6,4,,,,
1,73,8,484.74,1,,,,
0,23,8,542.84,4,,,,
1,46,8,1243,1,,,,
0,34,8,758.79,1,,,,
1,20,8,1090.5,4,,,,
1,36,8,658.17,1,,,,
1,34,8,414.22,1,,,,
1,38,8,555.77,4,,,,
1,37,8,1157.1,4,,,,
0,34,8,850.26,3,,,,
1,49,8,277.02,3,,,,
0,45,8,220.23,2,,,,
0,59,8,2914.3,4,,,,
1,58,8,611.58,3,,,,
1,34,8,397.38,4,,,,
0,30,8,363.88,2,,,,
0,46,8,124.11,2,,,,
0,18,8,714.21,4,,,,
0,34,8,176.78,2,,,,
1,42,8,1928.6,4,,,,
0,19,8,2338.2,4,,,,
0,52,8,181.2,4,,,,
1,34,8,1344.1,4,,,,
1,39,8,665.3,1,,,,
0,44,8,658.44,1,,,,
0,46,8,307.04,2,,,,
0,57,8,316.31,1,,,,
1,55,8,1826.1,4,,,,
1,25,8,915.21,1,,,,
1,31,8,433.19,4,,,,
0,41,8,2766.5,3,,,,
1,35,8,1068,1,,,,
1,39,8,585.36,3,,,,
0,25,8,561.22,3,,,,
1,53,8,1693.5,4,,,,
0,74,8,361.46,2,,,,
1,20,8,287.49,4,,,,
1,40,8,778.92,1,,,,
0,84,8,11.52,2,,,,
1,45,8,959.29,1,,,,
0,29,8,483.71,2,,,,
1,30,8,938.64,1,,,,
0,35,8,411.92,2,,,,
1,26,8,1403.3,1,,,,
1,40,8,420.28,4,,,,
0,22,8,1439.4,3,,,,
1,22,8,1364.9,1,,,,
1,61,8,137.64,3,,,,
0,20,8,851.72,3,,,,
1,35,8,1595.4,4,,,,
1,49,8,975.6,1,,,,
0,57,8,965.08,4,,,,
1,69,8,119.84,1,,,,
1,47,8,519.58,1,,,,
1,46,8,1525.7,4,,,,
0,29,8,91.45,2,,,,
0,46,8,178.28,3,,,,
0,48,8,51.4,1,,,,
1,46,8,1466.9,4,,,,
1,61,8,296.56,3,,,,
0,64,8,8.04,2,,,,
0,52,8,2365.3,4,,,,
1,39,8,1301.5,4,,,,
0,55,8,1913.8,3,,,,
0,31,8,78.77,2,,,,
1,44,8,855.49,3,,,,
0,21,8,2094.1,4,,,,
0,31,8,358.44,2,,,,
1,52,8,182.66,3,,,,
0,38,8,2072.3,3,,,,
0,32,8,512.13,4,,,,
1,54,8,1313.8,4,,,,
0,44,8,474.44,2,,,,
0,18,8,1543.3,4,,,,
0,53,8,158.23,4,,,,
1,63,8,867.53,3,,,,
0,63,8,474.92,2,,,,
0,49,8,1040.5,4,,,,
0,34,8,1534.5,4,,,,
0,37,8,1480.5,3,,,,
0,39,8,129.33,2,,,,
1,46,8,1595.5,4,,,,
1,56,8,424.65,3,,,,
0,56,8,476.01,1,,,,
0,41,8,119.87,2,,,,
1,74,8,380.46,3,,,,
1,47,8,1528.3,4,,,,
1,48,8,354.38,1,,,,
1,57,8,427.88,3,,,,
0,52,8,1473.3,4,,,,
1,35,8,1499.5,4,,,,
1,68,8,859.63,1,,,,
0,25,8,1700.5,4,,,,
0,63,8,303.14,2,,,,
0,65,8,121.3,2,,,,
0,53,8,1099.9,3,,,,
0,27,8,716.18,4,,,,
0,45,8,493.1,4,,,,
1,19,8,1490.7,1,,,,
0,45,8,346.57,2,,,,
1,38,8,922.34,3,,,,
0,81,8,263.61,2,,,,
1,27,8,1876.1,4,,,,
1,41,8,146.07,3,,,,
1,40,8,65.61,1,,,,
0,56,8,394.98,2,,,,
0,34,8,318.73,2,,,,
1,44,8,799.22,4,,,,
0,57,8,407.01,2,,,,
1,19,8,406.87,4,,,,
1,38,8,85.03,1,,,,
0,33,8,977.49,1,,,,
0,81,8,300.92,2,,,,
0,74,8,173,2,,,,
0,51,8,2542.6,4,,,,
0,21,8,706.93,4,,,,
0,48,8,723.12,1,,,,
0,82,8,162.73,2,,,,
1,53,8,1611,1,,,,
0,44,8,198.3,2,,,,
0,54,8,341.03,2,,,,
0,28,8,1750.6,4,,,,
0,52,8,839.5,3,,,,
1,61,8,413.76,1,,,,
1,57,8,530.08,3,,,,
0,67,8,435.31,2,,,,
1,26,8,828.08,3,,,,
0,82,8,480.23,2,,,,
0,45,8,103.43,2,,,,
1,57,8,312.17,1,,,,
1,23,8,1658.7,4,,,,
0,64,8,10.16,2,,,,
0,83,8,296.49,2,,,,
0,31,8,1496.4,3,,,,
1,43,8,755.59,1,,,,
0,68,8,230.11,2,,,,
1,45,8,1741.8,1,,,,
0,50,8,2789.9,3,,,,
0,29,8,364.8,2,,,,
1,63,8,502.61,3,,,,
0,73,8,312.03,2,,,,
1,27,8,209.06,3,,,,
1,45,8,328.96,4,,,,
0,43,8,22.98,2,,,,
0,51,8,96.33,2,,,,
0,35,8,221.65,2,,,,
1,71,8,894.57,3,,,,
1,39,8,280.92,3,,,,
1,71,8,619.41,1,,,,
0,58,8,1473.2,4,,,,
0,83,8,182.19,2,,,,
0,54,8,300,2,,,,
0,29,8,455.4,2,,,,
